edificio,lat,lon,indirizzo
Municipio/Comune,46.1709924,12.7082318,"Piazza Italia 18"
Scuola secondaria di primo grado (Marconi),46.1667882,12.7071295,"Via Dante Alighieri 39"
Scuola elementare,46.1679929,12.7063120,"Via Dante Alighieri 48"
Scuola primaria A. Manzoni,46.1679929,12.7063120,"Via Dante Alighieri (stessa area centro)"
Centro Assistenza Anziani,46.1719739,12.7120781,"Via S. Mauro 6"
Biblioteca comunale,46.1768456,12.7103860,"Via Battiferri 1"
Teatro Verdi,46.1694967,12.7050781,"Via Umberto I 53"
Piscina,46.1570001,12.7031940,"Via Marco Polo 31"
Palazzetto dello sport,46.1569102,12.7020875,"Via Marco Polo 2"
ISIS + IPSIA Torricelli,46.1600742,12.7026120,"Via Udine 7"
ISIS Torricelli fabbricato separato,46.1600742,12.7026120,"Via Udine 7 (area)"
Caserme,46.1547652,12.7074910,"Via Pordenone 94"
Asilo Nido / Scuola materna (via campagna 50),46.1681404,12.7153537,"Via Campagna 50"
Scuola dell'infanzia di Fratta,46.1776252,12.7133827,"Via Antonio Rosa Brustolo 22"
Scuola primaria di Campagna,46.1484681,12.7462681,"Via dei Venier 17"
Scuola dell'infanzia di Campagna,46.1484681,12.7462681,"Via dei Venier (area Campagna)"
Sede Agenzia delle entrate e uffici del Centro per l'impiego,46.1695371,12.7075751,"Viale della Vittoria 11"
Ufficio postale,46.1692988,12.7041153,"Via A. Manzoni 16"
Arcieri Maniago,46.1553958,12.7015642,"Via Marco Polo 37"
Struttura polifunzionale Tennis,46.1563212,12.7015579,"Via Marco Polo 2"
Spogliatoio stadio comunale e sottotribune,46.1574924,12.7043782,"Via dello Stadio"
Centro sociale Dandolo,46.1687553,12.7044619,"area Via Umberto I (stima)"
Magazzino comunale,46.1709924,12.7082318,"area Municipio (stima)"
