pos,via,civico,denominazione,amministratore,unita,cluster,lat,lon
7.0,PIAZZA NICOLO' DI MANIAGO,2,BORGO CORICAMA,Lorena Castellan,9.0,Zona 1 - Comune NE,46.17005,12.712111
8.0,PIAZZA NICOLO' DI MANIAGO,5,,,6.0,Zona 1 - Comune NE,46.17005,12.712111
9.0,PIAZZA NICOLO' DI MANIAGO,8,,,6.0,Zona 1 - Comune NE,46.17005,12.712111
10.0,PIAZZA NICOLO' DI MANIAGO,11,,,7.0,Zona 1 - Comune NE,46.17005,12.712111
11.0,PIAZZA NICOLO' DI MANIAGO,16,,,11.0,Zona 1 - Comune NE,46.17005,12.712111
12.0,PIAZZA NICOLO' DI MANIAGO,19,,,13.0,Zona 1 - Comune NE,46.17005,12.712111
13.0,PIAZZA NICOLO' DI MANIAGO,22,,,10.0,Zona 1 - Comune NE,46.17005,12.712111
14.0,PIAZZA NICOLO' DI MANIAGO,28,,,11.0,Zona 1 - Comune NE,46.17005,12.712111
15.0,PIAZZA NICOLO' DI MANIAGO,31,,,9.0,Zona 1 - Comune NE,46.17005,12.712111
17.0,VIA ALESSANDRO MANZONI,11,RESIDENZA MANZONI,BI ESSE DATA S.A.S di Bortuzzo Alessandra,13.0,Zona 4 - Centro,46.168211235294116,12.701961705882352
18.0,VIA ALESSANDRO MANZONI,11,,,15.0,Zona 4 - Centro,46.168211235294116,12.701961705882352
19.0,VIA ALESSANDRO MANZONI,13,,,1.0,Zona 4 - Centro,46.168211235294116,12.701961705882352
20.0,VIA ALESSANDRO MANZONI,13,,,1.0,Zona 4 - Centro,46.168211235294116,12.701961705882352
21.0,VIA ALESSANDRO MANZONI,13,,,18.0,Zona 4 - Centro,46.168211235294116,12.701961705882352
22.0,VIA ALESSANDRO MANZONI,13,,,1.0,Zona 4 - Centro,46.168211235294116,12.701961705882352
23.0,VIA ALESSANDRO MANZONI,13,,,1.0,Zona 4 - Centro,46.168211235294116,12.701961705882352
44.0,VIA CATERINA PERCOTO,26,PERCOTO,BI ESSE DATA S.A.S di Bortuzzo Alessandra,8.0,Zona 3 - Sud,46.16366438888889,12.709550944444445
45.0,VIA CATERINA PERCOTO,28,,,4.0,Zona 3 - Sud,46.16366438888889,12.709550944444445
46.0,VIA CATERINA PERCOTO,30,,,4.0,Zona 3 - Sud,46.16366438888889,12.709550944444445
47.0,VIA CATERINA PERCOTO,33,,,8.0,Zona 3 - Sud,46.16366438888889,12.709550944444445
48.0,VIA CATERINA PERCOTO,35,PARCO VERDE 2??,,8.0,Zona 3 - Sud,46.16366438888889,12.709550944444445
49.0,VIA CATERINA PERCOTO,37,,,8.0,Zona 3 - Sud,46.16366438888889,12.709550944444445
50.0,VIA CATERINA PERCOTO,39,PARCO VERDE 1,Lorena Castellan,8.0,Zona 3 - Sud,46.16366438888889,12.709550944444445
51.0,VIA CATERINA PERCOTO,41,,,8.0,Zona 3 - Sud,46.16366438888889,12.709550944444445
52.0,VIA CATERINA PERCOTO,43,,,8.0,Zona 3 - Sud,46.16366438888889,12.709550944444445
59.0,VIA CIVIDALE,3,,,12.0,Zona 4 - Centro,46.165932999999995,12.702844666666666
60.0,VIA CIVIDALE,5,,,5.0,Zona 4 - Centro,46.165932999999995,12.702844666666666
62.0,VIA COLLE,4,VIA COLLE SAN FRANCESCO,Lorena Castellan,7.0,Zona 1 - Comune NE,46.174219199999996,12.712154250000001
63.0,VIA COLLE,6,,,17.0,Zona 1 - Comune NE,46.174219199999996,12.712154250000001
64.0,VIA COLLE,6,,,4.0,Zona 1 - Comune NE,46.174219199999996,12.712154250000001
