id,edificio,cluster,zona_pubblica_origine,tipologia,consumo_annuo_MWh,fonte_dato,note,tipo_utenza
1,Municipio/Comune,NE-Centro,Zona 2,Uffici pubblici,204.0,Bollette 2017-2018,,Pubblico
2,Centro sociale Dandolo,NE-Centro,Zona 2,Sociale/assistenziale,71.61,Stima rilievo generatori,,Pubblico
3,Scuola secondaria di primo grado (Marconi),NE-Centro,Zona 2,Scuola,658.17,Bollette 2022-2023,,Pubblico
4,Asilo Nido / Scuola materna (via Campagna 50),NE-Centro,Zona 2,Scuola infanzia,159.44,Bollette 2022-2024,,Pubblico
5,Centro Assistenza Anziani,NE-Centro,Zona 2,Sociale/assistenziale (RSA),1362.69,Bollette 2015-2024,,Pubblico
6,Scuola dell'infanzia di Fratta,NE-Centro,Zona 2,Scuola infanzia,113.58,Bollette 2022-2023,,Pubblico
7,Scuola elementare,NE-Centro,Zona 2,Scuola,269.94,,,Pubblico
8,Biblioteca comunale,NE-Centro,Zona 2,Cultura/Uffici pubblici,127.62,,,Pubblico
9,Sede Agenzia delle Entrate e Centro per l'impiego,NE-Centro,Zona 2,Uffici pubblici,56.58,,,Pubblico
10,Ufficio postale,NE-Centro,Zona 2,Uffici pubblici,9.41,,,Pubblico
11,Teatro Verdi,NE-Centro,Zona 2,Cultura,57.6,,,Pubblico
12,Magazzino comunale,NE-Centro,Zona 2,Deposito/magazzino,37.89,,,Pubblico
13,Scuola primaria A. Manzoni,Ovest,Zona 3,Scuola,292.01,Bollette 2023-2024,facoltativa/opzionale,Pubblico
14,Scuola dell'infanzia di Campagna,Campagna,Zona 4,Scuola infanzia,59.95,,,Pubblico
15,Scuola primaria di Campagna,Campagna,Zona 4,Scuola,75.72,,,Pubblico
16,Arcieri Maniago,Ex Bioman,Zona 1,Sportivo,39.74,Bollette 2017-2022,,Pubblico
17,Caserme,Ex Bioman,Zona 1,Caserma,2680.46,Bollette 2017-2022,,Pubblico
18,Piscina,Ex Bioman,Zona 1,Sportivo,1162.76,,,Pubblico
19,Palazzetto dello sport,Ex Bioman,Zona 1,Sportivo,111.54,,,Pubblico
20,Spogliatoio stadio comunale e sottotribune,Ex Bioman,Zona 1,Sportivo,68.85,,,Pubblico
21,Struttura polifunzionale Tennis,Ex Bioman,Zona 1,Sportivo,23.31,,,Pubblico
22,ISIS + IPSIA Torricelli,Ex Bioman,Zona 1,Scuola superiore,639.87,,,Pubblico
23,ISIS Torricelli fabbricato separato,Ex Bioman,Zona 1,Scuola superiore,55.28,,,Pubblico
100,Residenziale Zona NE,NE-Centro,,Residenziale,14318.0,Modello GIS (nPro Energy) - slide Heat Demand Maniago Privates,"Potenziale tecnico zona, non utenze impegnate",Privato (potenziale)
101,Residenziale Zona Est,Ex Bioman,,Residenziale,15362.0,Modello GIS (nPro Energy) - slide Heat Demand Maniago Privates,"Potenziale tecnico zona, non utenze impegnate",Privato (potenziale)
102,Residenziale Zona Ovest,Ovest,,Residenziale,27547.0,Modello GIS (nPro Energy) - slide Heat Demand Maniago Privates,"Potenziale tecnico zona, non utenze impegnate",Privato (potenziale)
103,Residenziale Zona Centrale,NE-Centro,,Residenziale,38707.0,Modello GIS (nPro Energy) - slide Heat Demand Maniago Privates,"Potenziale tecnico zona, non utenze impegnate",Privato (potenziale)
