datetime,edificio,cluster,tipologia,MWh
2024-01-01 00:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.008780824946482323
2024-01-01 01:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.008780824946482323
2024-01-01 02:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.008780824946482323
2024-01-01 03:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.008780824946482323
2024-01-01 04:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.008780824946482323
2024-01-01 05:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.011707766595309765
2024-01-01 06:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.02926941648827441
2024-01-01 07:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.07317354122068603
2024-01-01 08:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.11707766595309764
2024-01-01 09:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.12585849089957996
2024-01-01 10:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.12585849089957996
2024-01-01 11:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.11707766595309764
2024-01-01 12:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.10244295770896043
2024-01-01 13:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.11707766595309764
2024-01-01 14:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.12585849089957996
2024-01-01 15:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.11707766595309764
2024-01-01 16:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.10244295770896043
2024-01-01 17:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.05853883297654882
2024-01-01 18:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.02926941648827441
2024-01-01 19:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.014634708244137205
2024-01-01 20:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.011707766595309765
2024-01-01 21:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.008780824946482323
2024-01-01 22:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.008780824946482323
2024-01-01 23:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.008780824946482323
2024-01-02 00:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.008235185529008314
2024-01-02 01:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.008235185529008314
2024-01-02 02:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.008235185529008314
2024-01-02 03:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.008235185529008314
2024-01-02 04:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.008235185529008314
2024-01-02 05:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.010980247372011085
2024-01-02 06:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.02745061843002771
2024-01-02 07:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.06862654607506928
2024-01-02 08:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.10980247372011084
2024-01-02 09:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.11803765924911915
2024-01-02 10:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.11803765924911915
2024-01-02 11:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.10980247372011084
2024-01-02 12:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.09607716450509698
2024-01-02 13:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.10980247372011084
2024-01-02 14:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.11803765924911915
2024-01-02 15:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.10980247372011084
2024-01-02 16:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.09607716450509698
2024-01-02 17:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.05490123686005542
2024-01-02 18:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.02745061843002771
2024-01-02 19:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.013725309215013855
2024-01-02 20:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.010980247372011085
2024-01-02 21:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.008235185529008314
2024-01-02 22:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.008235185529008314
2024-01-02 23:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.008235185529008314
2024-01-03 00:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.009326464363956332
2024-01-03 01:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.009326464363956332
2024-01-03 02:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.009326464363956332
2024-01-03 03:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.009326464363956332
2024-01-03 04:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.009326464363956332
2024-01-03 05:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.012435285818608444
2024-01-03 06:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.031088214546521106
2024-01-03 07:00:00,Municipio/Comune,NE-Centro,Uffici pubblici,0.07772053636630276
