azienda,flusso,destinazione,fluido,T_alta_C,T_out_C,P_kW,profilo,cicli_min,cicli_max,giorni_sett,chiusura_gg,cf,P_scambiatore_kW,costo_allacciamento_eur,modello_HE,note,natale_acceso
Pandolfo,Torri raffreddamento fusione,tiepido,acqua,45,25,5931.0,ciclico_colate,8.0,9.0,7,30,,4187.0,74800.0,AX46-531 H,,
Pandolfo,Fumi crogiolo,tiepido,fumi,85,60,1650.0,continuo,,,7,30,,,,,,
Pandolfo,Fumi forni rigeneranti,alta_T,fumi,260,90,62.6,cf_random,,,7,30,0.35,,,,in attesa riscontro HE,
ZML,Ritorno forni fusori (torri),tiepido,acqua,65,42,7325.0,ciclico_colate,9.0,10.0,5,45,,4494.0,71500.0,AX46-459 H,,
ZML,Camino aspirazione fumi,tiepido,fumi,40,25,562.0,continuo,,,5,45,,,,,,
Inossman,Compressori Kaeser,tiepido,acqua,77,71,660.0,continuo,,,7,0,,,,,,
Inossman,Calcinazione sabbia (IMF),alta_T,fumi,800,150,24375.0,cf_random,,,7,15,0.3,,,,forno cromite - in attesa riscontro,
Inossman,Forni trattamento grandi (6),alta_T,fumi,800,150,1450.0,notturno_18_08,,,6,20,,,,,in attesa riscontro,
Inossman,Forno piccolo continuo,alta_T,fumi,1100,150,400.0,ore_giorno_20,,,6,20,,,,,in attesa riscontro,
Inossman,Forno piccolo saltuario,alta_T,fumi,1100,150,370.0,continuo,,,6,20,,,,,in attesa riscontro,
Pietro Rosa,Nuova torre evaporativa,tiepido,acqua,30,25,850.0,continuo,,,7,0,,849.0,44000.0,AV20-349 HL 342,,si
Pietro Rosa,E4 MAGLIO 3000,alta_T,fumi,144,90,116.6,continuo,,,5,30,,,,,in attesa riscontro HE,si
Pietro Rosa,E5 forni riscaldo,bassa_T,fumi,84,45,15.0,continuo,,,7,22,,,,,,si
Pietro Rosa,E6 forni riscaldo,bassa_T,fumi,50,40,6.0,continuo,,,7,22,,,,,,si
Pietro Rosa,E1 MAGLIO MAS10000,bassa_T,fumi,48,40,5.0,continuo,,,7,22,,,,,,si
