edificio,nome,via,cluster,anello,lat,lon,MWh_SH,MWh_ACS,consumo_annuo_MWh,tipo_utenza,area_m2
PRIV_0001,Via Polcenigo 6,Via Polcenigo,Zona 3 - Sud,1,46.163935,12.714091,49.385,8.715,58.099999999999994,Privato (potenziale),
PRIV_0002,Via Polcenigo 14,Via Polcenigo,Zona 3 - Sud,1,46.1635,12.714352,46.648,8.232,54.88,Privato (potenziale),
PRIV_0003,Via Polcenigo 18,Via Polcenigo,Zona 3 - Sud,1,46.163346,12.714449,51.646,9.114,60.760000000000005,Privato (potenziale),
PRIV_0004,Via Polcenigo 20,Via Polcenigo,Zona 3 - Sud,1,46.163108,12.714576,44.149,7.79,51.939,Privato (potenziale),
PRIV_0005,Edificio 4,,Zona 3 - Sud,1,46.162666,12.714791,33.558,5.922,39.48,Privato (potenziale),
PRIV_0006,Via Polcenigo 26,Via Polcenigo,Zona 3 - Sud,1,46.162459,12.71492,41.055,7.245,48.3,Privato (potenziale),
PRIV_0007,Via Polcenigo 32,Via Polcenigo,Zona 3 - Sud,1,46.162146,12.715533,45.815,8.085,53.9,Privato (potenziale),
PRIV_0008,Via Polcenigo 36,Via Polcenigo,Zona 3 - Sud,1,46.162257,12.715909,38.437,6.783,45.22,Privato (potenziale),
PRIV_0009,Edificio 8,,Zona 3 - Sud,1,46.162363,12.716234,42.483,7.497,49.98,Privato (potenziale),
PRIV_0010,Via Polcenigo 40,Via Polcenigo,Zona 3 - Sud,1,46.162485,12.716603,60.69,10.71,71.4,Privato (potenziale),
PRIV_0011,Edificio 10,,Zona 3 - Sud,1,46.162378,12.716463,5.474,0.968,6.442,Privato (potenziale),
PRIV_0012,Via Polcenigo 42,Via Polcenigo,Zona 3 - Sud,1,46.16262,12.717049,43.435,7.665,51.1,Privato (potenziale),
PRIV_0013,Via Polcenigo 44,Via Polcenigo,Zona 3 - Sud,1,46.162701,12.717323,33.439,5.901,39.34,Privato (potenziale),
PRIV_0014,Via Polcenigo 46,Via Polcenigo,Zona 3 - Sud,1,46.162764,12.717544,29.75,5.25,35.0,Privato (potenziale),
PRIV_0015,Via Polcenigo 48,Via Polcenigo,Zona 3 - Sud,1,46.162818,12.717773,24.276,4.284,28.56,Privato (potenziale),
PRIV_0016,Edificio 15,,Zona 3 - Sud,1,46.162807,12.717856,5.117,0.905,6.022,Privato (potenziale),
PRIV_0017,Via Sacile 4,Via Sacile,Zona 3 - Sud,1,46.164177,12.714608,53.43,9.429,62.859,Privato (potenziale),
PRIV_0018,Via Polcenigo 3,Via Polcenigo,Zona 3 - Sud,1,46.163926,12.714784,67.473,11.907,79.38,Privato (potenziale),
PRIV_0019,Via Polcenigo 5,Via Polcenigo,Zona 3 - Sud,1,46.163568,12.71492,44.149,7.79,51.939,Privato (potenziale),
PRIV_0020,Via San Daniele 16,Via San Daniele,Zona 3 - Sud,1,46.163352,12.71503,32.13,5.67,37.800000000000004,Privato (potenziale),
PRIV_0021,Via San Daniele 18,Via San Daniele,Zona 3 - Sud,1,46.163292,12.715001,6.664,1.178,7.842,Privato (potenziale),
PRIV_0022,Via San Daniele 8,Via San Daniele,Zona 3 - Sud,1,46.163428,12.716157,27.727,4.893,32.62,Privato (potenziale),
PRIV_0023,Via San Daniele 4,Via San Daniele,Zona 3 - Sud,1,46.163991,12.716243,56.05,9.891,65.941,Privato (potenziale),
PRIV_0024,Edificio 23,,Zona 3 - Sud,1,46.164114,12.716048,7.973,1.406,9.379,Privato (potenziale),
PRIV_0025,Edificio 24,,Zona 3 - Sud,1,46.164072,12.716015,15.113,2.667,17.78,Privato (potenziale),
PRIV_0026,Via Sacile 20,Via Sacile,Zona 3 - Sud,1,46.164319,12.716269,32.963,5.817,38.78,Privato (potenziale),
PRIV_0027,Via Sacile 16,Via Sacile,Zona 3 - Sud,1,46.164334,12.715743,38.912,6.867,45.778999999999996,Privato (potenziale),
PRIV_0028,Via Sacile 12,Via Sacile,Zona 3 - Sud,1,46.164294,12.715409,30.821,5.439,36.260000000000005,Privato (potenziale),
PRIV_0029,Via Polcenigo 13,Via Polcenigo,Zona 3 - Sud,1,46.162867,12.71531,39.984,7.056,47.04,Privato (potenziale),
PRIV_0030,Via Polcenigo 15,Via Polcenigo,Zona 3 - Sud,1,46.162674,12.7154,35.581,6.279,41.86,Privato (potenziale),
PRIV_0031,Via Polcenigo 17,Via Polcenigo,Zona 3 - Sud,1,46.162477,12.715432,33.796,5.964,39.76,Privato (potenziale),
PRIV_0032,Via Polcenigo 19,Via Polcenigo,Zona 3 - Sud,1,46.162648,12.715782,78.778,13.902,92.68,Privato (potenziale),
PRIV_0033,Via Polcenigo 21,Via Polcenigo,Zona 3 - Sud,1,46.162758,12.716118,41.055,7.245,48.3,Privato (potenziale),
PRIV_0034,Via Polcenigo 23,Via Polcenigo,Zona 3 - Sud,1,46.163026,12.716493,62.594,11.046,73.64,Privato (potenziale),
PRIV_0035,Edificio 34,,Zona 3 - Sud,1,46.163037,12.716179,42.245,7.455,49.699999999999996,Privato (potenziale),
PRIV_0036,Edificio 35,,Zona 3 - Sud,1,46.163025,12.71552,20.23,3.57,23.8,Privato (potenziale),
PRIV_0037,Via San Daniele 21,Via San Daniele,Zona 3 - Sud,1,46.163079,12.715517,21.063,3.718,24.781,Privato (potenziale),
PRIV_0038,Via Polcenigo 66,Via Polcenigo,Zona 3 - Sud,1,46.163499,12.719925,32.606,5.753,38.359,Privato (potenziale),
PRIV_0039,Via Polcenigo 68,Via Polcenigo,Zona 3 - Sud,1,46.163608,12.720203,64.617,11.403,76.02000000000001,Privato (potenziale),
PRIV_0040,Edificio 39,,Zona 3 - Sud,1,46.163774,12.720577,6.783,1.199,7.982,Privato (potenziale),
PRIV_0041,Via Polcenigo 76,Via Polcenigo,Zona 3 - Sud,1,46.164081,12.720977,31.059,5.481,36.54,Privato (potenziale),
PRIV_0042,Via Polcenigo 82,Via Polcenigo,Zona 3 - Sud,1,46.164504,12.72119,25.108,4.431,29.539,Privato (potenziale),
PRIV_0043,Via Polcenigo 57,Via Polcenigo,Zona 3 - Sud,1,46.164884,12.720759,41.412,7.308,48.72,Privato (potenziale),
PRIV_0044,Via Sacile 50,Via Sacile,Zona 3 - Sud,1,46.16485,12.720311,25.823,4.557,30.380000000000003,Privato (potenziale),
PRIV_0045,Edificio 44,,Zona 3 - Sud,1,46.164582,12.720627,30.94,5.46,36.4,Privato (potenziale),
PRIV_0046,Via Latisana 31,Via Latisana,Zona 3 - Sud,1,46.164606,12.720067,36.295,6.405,42.7,Privato (potenziale),
PRIV_0047,Via Latisana 34,Via Latisana,Zona 3 - Sud,1,46.164395,12.720136,40.222,7.098,47.32,Privato (potenziale),
PRIV_0048,Edificio 47,,Zona 3 - Sud,1,46.164017,12.720257,21.896,3.865,25.761000000000003,Privato (potenziale),
PRIV_0049,Via Polcenigo 47,Via Polcenigo,Zona 3 - Sud,1,46.164162,12.720456,21.658,3.823,25.481,Privato (potenziale),
PRIV_0050,Via Latisana 30,Via Latisana,Zona 3 - Sud,1,46.16418,12.719872,39.39,6.951,46.341,Privato (potenziale),
