date,Tmed,Tmed_maniago
2011-01-01,0.8,-1.2010848508330092
2011-01-02,2.0,0.1239829523440541
2011-01-03,-0.4,-2.5261526540100725
2011-01-04,-1.8,-4.072065091049982
2011-01-05,-2.3,-4.624176675707091
2011-01-06,0.7,-1.3115071677644323
2011-01-07,2.7,0.8969391708640053
2011-01-08,4.8,3.2158078264238696
2011-01-09,6.3,4.872142580395197
2011-01-10,7.8,6.528477334366526
2011-01-11,7.9,6.6388996512979475
2011-01-12,7.1,5.755521115846571
2011-01-13,3.6,1.8907400232468063
2011-01-14,6.1,4.6512979465323525
2011-01-15,5.8,4.320030995738087
2011-01-16,4.8,3.2158078264238696
2011-01-17,1.0,-0.9802402169701665
2011-01-18,-0.1,-2.1948857032158102
2011-01-19,2.1,0.23440526927547722
2011-01-20,5.9,4.430453312669508
2011-01-21,4.5,2.8845408756296003
2011-01-22,1.1,-0.8698179000387434
2011-01-23,-1.0,-3.188686555598604
2011-01-24,0.4,-1.6427741185586981
2011-01-25,0.0,-2.0844633862843835
2011-01-26,1.0,-0.9802402169701665
2011-01-27,3.8,2.111584657109649
2011-01-28,4.2,2.5532739248353344
2011-01-29,2.1,0.23440526927547722
2011-01-30,3.1,1.3386284385896943
2011-01-31,2.3,0.4552499031383199
2011-02-01,1.9,0.013560635412630972
2011-02-02,3.0,1.2282061216582711
2011-02-03,2.3,0.4552499031383199
2011-02-04,5.0,3.4366524602867123
2011-02-05,3.0,1.2282061216582711
2011-02-06,4.7,3.105385509492443
2011-02-07,4.8,3.2158078264238696
2011-02-08,4.4,2.7741185586981807
2011-02-09,7.3,5.976365749709416
2011-02-10,6.1,4.6512979465323525
2011-02-11,4.4,2.7741185586981807
2011-02-12,6.9,5.534676481983729
2011-02-13,7.1,5.755521115846571
2011-02-14,7.7,6.418055017435103
2011-02-15,7.2,5.865943432777993
2011-02-16,6.8,5.424254165052307
2011-02-17,6.6,5.203409531189461
2011-02-18,9.4,8.295234405269277
2011-02-19,6.7,5.313831848120882
2011-02-20,6.6,5.203409531189461
2011-02-21,5.4,3.8783417280123977
2011-02-22,3.7,2.001162340178226
2011-02-23,0.9,-1.0906625339015896
2011-02-24,-0.2,-2.30530802014723
2011-02-25,1.3,-0.6489732661759007
2011-02-26,3.7,2.001162340178226
2011-02-27,4.5,2.8845408756296003
2011-02-28,6.4,4.982564897326618
2011-03-01,4.9,3.326230143355289
2011-03-02,5.2,3.657497094149555
2011-03-03,3.8,2.111584657109649
2011-03-04,5.0,3.4366524602867123
2011-03-05,5.7,4.209608678806664
2011-03-06,7.2,5.865943432777993
2011-03-07,4.6,2.9949631925610234
2011-03-08,1.7,-0.20728399845021173
2011-03-09,2.6,0.7865168539325857
2011-03-10,4.0,2.3324292909724917
2011-03-11,5.7,4.209608678806664
2011-03-12,7.9,6.6388996512979475
2011-03-13,8.9,7.743122820612166
2011-03-14,10.6,9.620302208446338
2011-03-15,10.4,9.399457574583495
2011-03-16,10.7,9.73072452537776
2011-03-17,10.6,9.620302208446338
2011-03-18,11.6,10.724525377760557
2011-03-19,10.6,9.620302208446338
2011-03-20,9.6,8.51607903913212
2011-03-21,8.3,7.080588919023635
2011-03-22,8.9,7.743122820612166
2011-03-23,11.5,10.614103060829136
2011-03-24,12.1,11.276636962417667
2011-03-25,11.3,10.393258426966293
2011-03-26,11.6,10.724525377760557
2011-03-27,11.9,11.055792328554825
2011-03-28,11.2,10.28283611003487
2011-03-29,12.7,11.939170864006199
2011-03-30,12.9,12.160015497869043
2011-03-31,14.3,13.705927934908951
2011-04-01,15.7,15.251840371948855
2011-04-02,16.5,16.135218907400233
2011-04-03,16.3,15.91437427353739
2011-04-04,15.3,14.81015110422317
2011-04-05,14.4,13.816350251840372
2011-04-06,15.4,14.920573421154593
2011-04-07,17.1,16.797752808988765
2011-04-08,17.7,17.460286710577293
2011-04-09,21.1,21.1
2011-04-10,17.1,16.797752808988765
2011-04-11,16.1,15.693529639674546
2011-04-12,15.2,14.699728787291747
2011-04-13,11.0,10.061991476172027
2011-04-14,10.4,9.399457574583495
2011-04-15,11.8,10.945370011623403
2011-04-16,12.5,11.718326230143356
2011-04-17,13.5,12.822549399457575
2011-04-18,14.6,14.037194885703215
2011-04-19,15.9,15.472685005811702
2011-04-20,16.2,15.803951956605966
2011-04-21,15.4,14.920573421154593
2011-04-22,15.6,15.141418055017436
2011-04-23,15.8,15.36226268888028
2011-04-24,16.2,15.803951956605966
2011-04-25,16.8,16.4664858581945
2011-04-26,16.6,16.245641224331656
2011-04-27,17.1,16.797752808988765
2011-04-28,16.3,15.91437427353739
2011-04-29,15.0,14.478884153428904
2011-04-30,15.5,15.030995738086013
2011-05-01,16.9,16.57690817512592
2011-05-02,16.9,16.57690817512592
2011-05-03,17.6,17.349864393645873
2011-05-04,14.9,14.368461836497481
2011-05-05,14.0,13.374660984114684
2011-05-06,15.5,15.030995738086013
2011-05-07,16.7,16.356063541263076
2011-05-08,18.0,17.791553661371562
2011-05-09,17.3,17.018597442851608
2011-05-10,19.9,19.889577683068577
2011-05-11,21.3,21.3
2011-05-12,21.7,21.7
2011-05-13,21.8,21.8
2011-05-14,20.3,20.3
2011-05-15,12.9,12.160015497869043
2011-05-16,14.8,14.258039519566061
2011-05-17,17.6,17.349864393645873
2011-05-18,21.0,21.0
2011-05-19,21.7,21.7
2011-05-20,21.5,21.5
2011-05-21,22.4,22.4
2011-05-22,23.5,23.5
2011-05-23,25.0,25.0
2011-05-24,25.2,25.2
2011-05-25,26.0,26.0
2011-05-26,24.0,24.0
2011-05-27,20.7,20.7
2011-05-28,17.5,17.239442076714454
2011-05-29,18.9,18.785354513754356
2011-05-30,21.4,21.4
2011-05-31,21.6,21.6
2011-06-01,21.2,21.2
2011-06-02,22.6,22.6
2011-06-03,22.4,22.4
2011-06-04,24.0,24.0
2011-06-05,20.8,20.8
2011-06-06,18.1,17.901975978302985
2011-06-07,17.5,17.239442076714454
2011-06-08,18.7,18.564509879891514
2011-06-09,18.3,18.122820612165828
2011-06-10,20.2,20.2
2011-06-11,19.6,19.558310732274315
2011-06-12,21.0,21.0
2011-06-13,21.2,21.2
2011-06-14,21.9,21.9
2011-06-15,22.4,22.4
2011-06-16,23.2,23.2
2011-06-17,21.9,21.9
2011-06-18,22.5,22.5
2011-06-19,18.7,18.564509879891514
2011-06-20,20.0,20.0
2011-06-21,22.0,22.0
2011-06-22,23.8,23.8
2011-06-23,23.1,23.1
2011-06-24,20.1,20.1
2011-06-25,20.4,20.4
2011-06-26,21.6,21.6
2011-06-27,23.4,23.4
2011-06-28,24.5,24.5
2011-06-29,25.5,25.5
2011-06-30,22.6,22.6
2011-07-01,20.3,20.3
2011-07-02,18.2,18.012398295234405
2011-07-03,19.3,19.22704378148005
2011-07-04,21.5,21.5
2011-07-05,22.2,22.2
2011-07-06,22.4,22.4
2011-07-07,24.5,24.5
2011-07-08,24.5,24.5
2011-07-09,25.8,25.8
2011-07-10,26.0,26.0
2011-07-11,26.6,26.6
2011-07-12,26.1,26.1
2011-07-13,26.8,26.8
2011-07-14,26.2,26.2
2011-07-15,22.7,22.7
2011-07-16,22.3,22.3
2011-07-17,22.6,22.6
2011-07-18,22.0,22.0
2011-07-19,21.8,21.8
2011-07-20,18.2,18.012398295234405
2011-07-21,19.9,19.889577683068577
2011-07-22,21.1,21.1
2011-07-23,19.6,19.558310732274315
2011-07-24,14.7,14.147617202634638
2011-07-25,18.3,18.122820612165828
2011-07-26,19.2,19.116621464548622
2011-07-27,19.5,19.44788841534289
2011-07-28,19.8,19.779155366137157
2011-07-29,21.5,21.5
2011-07-30,20.5,20.5
2011-07-31,21.9,21.9
2011-08-01,21.3,21.3
2011-08-02,22.8,22.8
2011-08-03,23.1,23.1
2011-08-04,23.1,23.1
2011-08-05,23.4,23.4
2011-08-06,23.2,23.2
2011-08-07,23.3,23.3
2011-08-08,24.1,24.1
2011-08-09,20.1,20.1
2011-08-10,19.5,19.44788841534289
2011-08-11,19.4,19.33746609841147
2011-08-12,21.4,21.4
2011-08-13,22.6,22.6
2011-08-14,24.3,24.3
2011-08-15,22.2,22.2
2011-08-16,24.2,24.2
2011-08-17,24.5,24.5
2011-08-18,25.6,25.6
2011-08-19,26.1,26.1
2011-08-20,27.5,27.5
2011-08-21,27.8,27.8
2011-08-22,27.6,27.6
2011-08-23,27.7,27.7
2011-08-24,26.8,26.8
2011-08-25,26.8,26.8
2011-08-26,26.7,26.7
2011-08-27,23.1,23.1
2011-08-28,21.9,21.9
2011-08-29,21.6,21.6
2011-08-30,22.5,22.5
2011-08-31,23.6,23.6
2011-09-01,21.4,21.4
2011-09-02,23.3,23.3
2011-09-03,24.8,24.8
2011-09-04,23.4,23.4
2011-09-05,21.0,21.0
2011-09-06,21.7,21.7
2011-09-07,20.9,20.9
2011-09-08,20.3,20.3
2011-09-09,22.0,22.0
2011-09-10,23.0,23.0
2011-09-11,23.4,23.4
2011-09-12,23.5,23.5
2011-09-13,24.2,24.2
2011-09-14,23.9,23.9
2011-09-15,23.8,23.8
2011-09-16,23.0,23.0
2011-09-17,23.4,23.4
2011-09-18,20.0,20.0
2011-09-19,16.9,16.57690817512592
2011-09-20,19.4,19.33746609841147
2011-09-21,20.7,20.7
2011-09-22,20.6,20.6
2011-09-23,20.6,20.6
2011-09-24,19.6,19.558310732274315
2011-09-25,19.7,19.668733049205734
2011-09-26,20.0,20.0
2011-09-27,20.3,20.3
2011-09-28,20.6,20.6
2011-09-29,19.6,19.558310732274315
2011-09-30,20.0,20.0
2011-10-01,20.7,20.7
2011-10-02,21.0,21.0
2011-10-03,20.0,20.0
2011-10-04,19.3,19.22704378148005
2011-10-05,20.4,20.4
2011-10-06,19.4,19.33746609841147
2011-10-07,12.3,11.497481596280512
2011-10-08,9.1,7.963967454475009
2011-10-09,10.9,9.951569159240606
2011-10-10,11.6,10.724525377760557
2011-10-11,12.8,12.049593180937622
2011-10-12,14.9,14.368461836497481
2011-10-13,15.4,14.920573421154593
2011-10-14,11.6,10.724525377760557
2011-10-15,8.3,7.080588919023635
2011-10-16,7.9,6.6388996512979475
2011-10-17,7.9,6.6388996512979475
2011-10-18,9.3,8.184812088337855
2011-10-19,11.8,10.945370011623403
2011-10-20,9.7,8.62650135606354
2011-10-21,8.5,7.301433552886479
2011-10-22,7.6,6.30763270050368
2011-10-23,9.4,8.295234405269277
2011-10-24,10.4,9.399457574583495
2011-10-25,12.1,11.276636962417667
2011-10-26,13.7,13.043394033320418
2011-10-27,13.4,12.712127082526154
2011-10-28,12.2,11.387059279349089
2011-10-29,11.5,10.614103060829136
2011-10-30,11.1,10.172413793103448
2011-10-31,10.1,9.06819062378923
2011-11-01,10.0,8.957768306857808
2011-11-02,10.2,9.178612940720651
2011-11-03,10.8,9.841146842309184
2011-11-04,12.2,11.387059279349089
2011-11-05,14.3,13.705927934908951
2011-11-06,15.3,14.81015110422317
2011-11-07,13.0,12.270437814800465
2011-11-08,13.8,13.15381635025184
2011-11-09,12.6,11.828748547074778
2011-11-10,11.7,10.83494769469198
2011-11-11,10.0,8.957768306857808
2011-11-12,7.1,5.755521115846571
2011-11-13,6.6,5.203409531189461
2011-11-14,7.3,5.976365749709416
2011-11-15,6.9,5.534676481983729
2011-11-16,6.2,4.761720263463774
2011-11-17,5.0,3.4366524602867123
2011-11-18,4.4,2.7741185586981807
2011-11-19,3.6,1.8907400232468063
2011-11-20,3.0,1.2282061216582711
2011-11-21,2.5,0.6760945370011626
2011-11-22,6.5,5.09298721425804
2011-11-23,6.8,5.424254165052307
2011-11-24,4.9,3.326230143355289
2011-11-25,5.0,3.4366524602867123
2011-11-26,5.6,4.099186361875242
2011-11-27,4.5,2.8845408756296003
2011-11-28,6.9,5.534676481983729
2011-11-29,6.5,5.09298721425804
2011-11-30,5.3,3.767919411080978
2011-12-01,4.8,3.2158078264238696
2011-12-02,6.9,5.534676481983729
2011-12-03,8.7,7.522278186749322
2011-12-04,8.7,7.522278186749322
2011-12-05,8.3,7.080588919023635
2011-12-06,5.7,4.209608678806664
2011-12-07,3.4,1.66989538938396
2011-12-08,5.2,3.657497094149555
2011-12-09,6.8,5.424254165052307
