time,Gb,Gd,Gr,H_sun,T2m,WS10m,Int,datetime,year,month,G_totale
20050101:0110,0.0,0.0,0.0,0.0,-5.33,2.41,0.0,2005-01-01 01:10:00,2005,1,0.0
20050101:0210,0.0,0.0,0.0,0.0,-4.41,2.28,0.0,2005-01-01 02:10:00,2005,1,0.0
20050101:0310,0.0,0.0,0.0,0.0,-3.81,2.21,0.0,2005-01-01 03:10:00,2005,1,0.0
20050101:0410,0.0,0.0,0.0,0.0,-3.97,2.28,0.0,2005-01-01 04:10:00,2005,1,0.0
20050101:0510,0.0,0.0,0.0,0.0,-3.79,2.28,0.0,2005-01-01 05:10:00,2005,1,0.0
20050101:0610,0.0,0.0,0.0,0.0,-4.07,2.28,0.0,2005-01-01 06:10:00,2005,1,0.0
20050101:0710,0.0,0.0,0.0,0.0,-3.36,2.21,0.0,2005-01-01 07:10:00,2005,1,0.0
20050101:0810,265.06,57.84,2.41,9.52,-2.64,2.07,0.0,2005-01-01 08:10:00,2005,1,325.31
20050101:0910,497.8,96.98,5.38,15.53,0.74,1.66,0.0,2005-01-01 09:10:00,2005,1,600.16
20050101:1010,627.12,118.93,7.44,19.43,5.19,1.24,0.0,2005-01-01 10:10:00,2005,1,753.49
20050101:1110,662.85,138.52,8.35,20.83,7.53,0.97,0.0,2005-01-01 11:10:00,2005,1,809.72
20050101:1210,687.48,126.52,8.31,19.59,8.63,0.76,0.0,2005-01-01 12:10:00,2005,1,822.31
20050101:1310,218.96,173.95,5.22,15.83,8.85,0.69,0.0,2005-01-01 13:10:00,2005,1,398.13
20050101:1410,477.93,102.9,4.52,9.93,8.09,0.69,0.0,2005-01-01 14:10:00,2005,1,585.35
20050101:1510,127.37,46.19,1.06,2.36,6.69,1.03,0.0,2005-01-01 15:10:00,2005,1,174.62
20050101:1610,0.0,0.0,0.0,0.0,3.08,1.59,0.0,2005-01-01 16:10:00,2005,1,0.0
20050101:1710,0.0,0.0,0.0,0.0,-0.05,1.93,0.0,2005-01-01 17:10:00,2005,1,0.0
20050101:1810,0.0,0.0,0.0,0.0,-1.6,2.14,0.0,2005-01-01 18:10:00,2005,1,0.0
20050101:1910,0.0,0.0,0.0,0.0,-2.24,2.28,0.0,2005-01-01 19:10:00,2005,1,0.0
20050101:2010,0.0,0.0,0.0,0.0,-2.79,2.21,0.0,2005-01-01 20:10:00,2005,1,0.0
20050101:2110,0.0,0.0,0.0,0.0,-3.5,2.28,0.0,2005-01-01 21:10:00,2005,1,0.0
20050101:2210,0.0,0.0,0.0,0.0,-3.97,2.28,0.0,2005-01-01 22:10:00,2005,1,0.0
20050101:2310,0.0,0.0,0.0,0.0,-4.15,2.21,0.0,2005-01-01 23:10:00,2005,1,0.0
20050102:0010,0.0,0.0,0.0,0.0,-4.25,2.21,0.0,2005-01-02 00:10:00,2005,1,0.0
20050102:0110,0.0,0.0,0.0,0.0,-4.71,2.21,0.0,2005-01-02 01:10:00,2005,1,0.0
20050102:0210,0.0,0.0,0.0,0.0,-4.69,2.28,0.0,2005-01-02 02:10:00,2005,1,0.0
20050102:0310,0.0,0.0,0.0,0.0,-4.3,2.28,0.0,2005-01-02 03:10:00,2005,1,0.0
20050102:0410,0.0,0.0,0.0,0.0,-3.79,2.21,0.0,2005-01-02 04:10:00,2005,1,0.0
20050102:0510,0.0,0.0,0.0,0.0,-3.1,2.14,0.0,2005-01-02 05:10:00,2005,1,0.0
20050102:0610,0.0,0.0,0.0,0.0,-2.82,2.07,0.0,2005-01-02 06:10:00,2005,1,0.0
20050102:0710,0.0,0.0,0.0,0.0,-2.75,2.07,0.0,2005-01-02 07:10:00,2005,1,0.0
20050102:0810,303.03,52.26,2.54,9.54,-2.33,1.79,0.0,2005-01-02 08:10:00,2005,1,357.83
20050102:0910,502.18,93.49,5.38,15.57,0.21,1.38,0.0,2005-01-02 09:10:00,2005,1,601.05
20050102:1010,684.58,97.26,7.65,19.49,3.34,1.03,0.0,2005-01-02 10:10:00,2005,1,789.49
20050102:1110,670.71,133.53,8.38,20.92,5.45,0.69,0.0,2005-01-02 11:10:00,2005,1,812.62
20050102:1210,348.7,199.05,6.83,19.69,6.12,0.55,0.0,2005-01-02 12:10:00,2005,1,554.58
20050102:1310,53.14,133.27,3.77,15.94,6.12,0.76,0.0,2005-01-02 13:10:00,2005,1,190.18000000000004
20050102:1410,16.44,75.43,2.08,10.06,5.51,0.55,0.0,2005-01-02 14:10:00,2005,1,93.95
20050102:1510,216.71,53.75,1.26,2.49,4.64,0.62,0.0,2005-01-02 15:10:00,2005,1,271.72
20050102:1610,0.0,0.0,0.0,0.0,2.1,1.38,0.0,2005-01-02 16:10:00,2005,1,0.0
20050102:1710,0.0,0.0,0.0,0.0,0.19,1.72,0.0,2005-01-02 17:10:00,2005,1,0.0
20050102:1810,0.0,0.0,0.0,0.0,-0.89,1.93,0.0,2005-01-02 18:10:00,2005,1,0.0
