mese,giorno,Pioggia mm,Tmin,Tmed,Tmax,Umidita' min %,Umidita' med %,Umidita' max %,Vento med km/h,Vento max km/h,Dir. V. max °N,Radiaz. KJ/m2,Press. med hPa,anno,date
1,1,0.2,4.6,5.7,6.9,82.0,92.0,99.0,4.0,19.0,319.0,151.0,1010.0,2007,2007-01-01
1,2,0.0,-0.4,4.9,8.6,49.0,88.0,99.0,9.0,30.0,244.0,2280.0,1000.1,2007,2007-01-02
1,3,0.0,-1.9,3.3,10.2,44.0,67.0,90.0,8.0,22.0,339.0,6365.0,1009.1,2007,2007-01-03
1,4,0.0,0.4,4.9,9.0,60.0,73.0,87.0,9.0,19.0,23.0,1699.0,1005.1,2007,2007-01-04
1,5,0.0,-0.8,4.8,12.3,49.0,75.0,92.0,9.0,20.0,336.0,6063.0,1005.5,2007,2007-01-05
1,6,0.0,2.0,6.1,10.6,64.0,83.0,92.0,6.0,17.0,334.0,2436.0,1010.0,2007,2007-01-06
1,7,0.0,5.4,7.3,10.2,76.0,86.0,93.0,5.0,12.0,345.0,2000.0,1007.8,2007,2007-01-07
1,8,0.6,2.9,6.8,10.8,70.0,87.0,99.0,6.0,18.0,252.0,1884.0,1003.2,2007,2007-01-08
1,9,0.0,2.3,6.7,11.3,73.0,92.0,99.0,5.0,11.0,335.0,3867.0,1007.2,2007,2007-01-09
1,10,0.4,7.0,7.7,9.2,86.0,94.0,99.0,3.0,12.0,205.0,509.0,1011.6,2007,2007-01-10
1,11,0.2,6.5,7.7,9.3,89.0,98.0,100.0,1.0,9.0,226.0,716.0,1008.1,2007,2007-01-11
1,12,0.4,2.9,6.7,11.9,75.0,96.0,99.0,7.0,28.0,226.0,4515.0,1005.0,2007,2007-01-12
1,13,0.0,1.4,6.7,13.0,69.0,86.0,99.0,8.0,18.0,325.0,3912.0,1010.1,2007,2007-01-13
1,14,0.0,1.7,7.0,11.4,72.0,88.0,99.0,6.0,17.0,332.0,2385.0,1011.2,2007,2007-01-14
1,15,0.0,1.3,7.9,16.6,36.0,76.0,99.0,9.0,23.0,324.0,6622.0,1013.7,2007,2007-01-15
1,16,0.0,0.7,5.0,6.8,92.0,98.0,99.0,6.0,18.0,14.0,922.0,1012.7,2007,2007-01-16
1,17,0.0,2.8,6.8,11.2,67.0,90.0,99.0,5.0,14.0,335.0,4505.0,1009.9,2007,2007-01-17
1,18,0.2,2.1,5.5,7.3,98.0,99.0,99.0,3.0,13.0,196.0,421.0,1004.9,2007,2007-01-18
1,19,0.0,5.2,7.1,9.2,91.0,97.0,99.0,5.0,21.0,9.0,1771.0,997.7,2007,2007-01-19
1,20,0.0,4.1,9.4,14.4,72.0,91.0,99.0,8.0,17.0,323.0,2297.0,1003.3,2007,2007-01-20
1,21,3.2,8.4,9.4,10.1,95.0,99.0,99.0,4.0,13.0,0.0,66.0,999.6,2007,2007-01-21
1,22,24.2,8.4,9.3,10.6,87.0,98.0,99.0,6.0,16.0,73.0,133.0,997.5,2007,2007-01-22
1,23,76.6,8.6,10.1,12.2,98.0,99.0,99.0,11.0,40.0,173.0,0.0,984.5,2007,2007-01-23
1,24,0.0,3.4,6.7,10.2,61.0,88.0,99.0,10.0,29.0,222.0,5542.0,977.8,2007,2007-01-24
1,25,3.0,1.0,3.0,6.1,54.0,76.0,99.0,10.0,34.0,84.0,2918.0,994.8,2007,2007-01-25
1,26,0.0,-3.2,1.2,5.9,47.0,73.0,94.0,5.0,14.0,58.0,6153.0,1002.5,2007,2007-01-26
1,27,0.0,-4.2,0.2,6.5,50.0,78.0,95.0,6.0,16.0,297.0,9440.0,1004.4,2007,2007-01-27
1,28,0.0,-2.9,2.3,9.3,42.0,75.0,96.0,7.0,20.0,62.0,8508.0,1009.5,2007,2007-01-28
1,29,0.0,-1.6,3.3,9.1,65.0,83.0,95.0,9.0,19.0,79.0,6890.0,1001.6,2007,2007-01-29
1,30,0.0,-0.5,4.3,11.5,55.0,81.0,96.0,7.0,19.0,334.0,7941.0,1005.4,2007,2007-01-30
1,31,0.0,0.5,5.7,9.7,58.0,83.0,94.0,6.0,18.0,324.0,2620.0,1006.1,2007,2007-01-31
2,1,0.0,1.4,5.7,9.9,58.0,81.0,95.0,6.0,21.0,332.0,4292.0,1005.2,2007,2007-02-01
2,2,0.0,-0.5,5.0,12.7,50.0,79.0,99.0,6.0,15.0,189.0,8429.0,1011.3,2007,2007-02-02
2,3,0.0,-2.1,2.9,10.5,66.0,91.0,99.0,5.0,18.0,272.0,8119.0,1007.8,2007,2007-02-03
2,4,0.0,-1.4,4.4,12.6,36.0,69.0,92.0,8.0,19.0,270.0,8733.0,1010.2,2007,2007-02-04
2,5,0.0,-2.2,3.2,10.4,50.0,80.0,99.0,6.0,14.0,38.0,8964.0,1002.9,2007,2007-02-05
2,6,6.0,-1.3,3.9,8.8,68.0,94.0,99.0,7.0,18.0,87.0,3822.0,991.3,2007,2007-02-06
2,7,3.2,4.8,6.5,8.9,88.0,96.0,99.0,5.0,13.0,83.0,3909.0,987.6,2007,2007-02-07
2,8,7.6,5.9,7.2,9.2,86.0,97.0,99.0,4.0,13.0,1.0,2397.0,988.5,2007,2007-02-08
2,9,1.2,4.2,8.3,12.3,78.0,94.0,99.0,9.0,20.0,63.0,4749.0,990.7,2007,2007-02-09
2,10,0.0,1.9,6.6,12.4,68.0,88.0,98.0,7.0,19.0,333.0,5228.0,992.2,2007,2007-02-10
2,11,0.0,1.5,7.4,14.5,47.0,81.0,99.0,8.0,21.0,329.0,8045.0,993.5,2007,2007-02-11
2,12,26.8,4.7,8.6,12.5,62.0,88.0,99.0,11.0,44.0,11.0,4994.0,988.6,2007,2007-02-12
2,13,8.4,1.9,8.0,13.1,62.0,83.0,98.0,12.0,35.0,40.0,9192.0,988.0,2007,2007-02-13
2,14,0.0,0.4,7.6,14.7,31.0,76.0,97.0,7.0,20.0,238.0,8453.0,996.9,2007,2007-02-14
2,15,0.2,2.2,7.6,12.8,58.0,84.0,96.0,6.0,15.0,329.0,6411.0,999.2,2007,2007-02-15
2,16,0.0,1.0,7.3,15.6,31.0,72.0,96.0,9.0,23.0,110.0,11348.0,1005.3,2007,2007-02-16
2,17,0.0,1.3,6.7,13.3,43.0,69.0,92.0,7.0,18.0,190.0,10863.0,1007.0,2007,2007-02-17
2,18,0.0,-0.1,5.0,11.8,43.0,69.0,90.0,8.0,23.0,136.0,11696.0,1004.2,2007,2007-02-18
2,19,0.0,-1.1,5.5,13.2,37.0,70.0,93.0,8.0,19.0,335.0,11850.0,997.8,2007,2007-02-19
2,20,0.0,0.0,8.7,16.7,13.0,59.0,85.0,8.0,23.0,341.0,12349.0,997.0,2007,2007-02-20
2,21,1.0,5.6,9.6,12.1,49.0,82.0,99.0,6.0,16.0,335.0,3266.0,999.2,2007,2007-02-21
2,22,1.0,8.8,10.2,12.7,83.0,97.0,99.0,4.0,14.0,190.0,2827.0,997.2,2007,2007-02-22
2,23,0.0,6.7,10.7,16.5,49.0,82.0,99.0,6.0,15.0,342.0,6645.0,996.3,2007,2007-02-23
2,24,0.2,6.0,9.8,14.1,49.0,78.0,99.0,5.0,16.0,107.0,4799.0,995.5,2007,2007-02-24
2,25,10.2,4.4,8.7,10.9,86.0,95.0,99.0,7.0,23.0,20.0,1952.0,992.4,2007,2007-02-25
2,26,0.8,4.7,10.0,15.7,51.0,81.0,99.0,8.0,23.0,354.0,13046.0,989.6,2007,2007-02-26
2,27,0.0,1.7,9.1,16.4,33.0,78.0,99.0,8.0,26.0,218.0,12922.0,995.7,2007,2007-02-27
2,28,0.0,5.0,8.6,13.1,64.0,85.0,99.0,8.0,22.0,55.0,7684.0,992.8,2007,2007-02-28
3,1,0.0,5.7,10.3,14.1,63.0,80.0,95.0,7.0,21.0,84.0,9864.0,989.5,2007,2007-03-01
3,2,0.0,7.6,11.7,17.4,56.0,86.0,99.0,6.0,17.0,213.0,10637.0,988.1,2007,2007-03-02
3,3,0.0,4.8,10.7,15.8,59.0,81.0,95.0,7.0,18.0,46.0,7573.0,992.7,2007,2007-03-03
3,4,0.0,4.1,10.9,19.1,15.0,58.0,95.0,10.0,26.0,226.0,14758.0,1002.0,2007,2007-03-04
3,5,0.0,3.6,11.3,17.8,31.0,70.0,99.0,8.0,19.0,162.0,14000.0,1005.5,2007,2007-03-05
3,6,0.6,7.5,11.7,16.0,30.0,70.0,96.0,7.0,15.0,9.0,4646.0,1005.1,2007,2007-03-06
3,7,68.6,8.6,10.1,12.0,88.0,97.0,99.0,12.0,30.0,186.0,1072.0,993.5,2007,2007-03-07
3,8,2.6,8.7,10.7,13.4,77.0,90.0,98.0,7.0,18.0,23.0,4278.0,996.3,2007,2007-03-08
3,9,0.0,5.6,11.4,17.3,32.0,66.0,91.0,8.0,21.0,189.0,16302.0,1005.2,2007,2007-03-09
3,10,0.0,3.7,11.1,18.4,15.0,47.0,91.0,14.0,40.0,28.0,16814.0,1007.7,2007,2007-03-10
3,11,0.0,2.7,11.5,18.8,9.0,28.0,78.0,13.0,38.0,35.0,15396.0,1011.9,2007,2007-03-11
3,12,0.0,1.0,10.0,19.9,10.0,47.0,77.0,7.0,18.0,267.0,17742.0,1009.7,2007,2007-03-12
3,13,0.0,4.7,12.6,21.4,21.0,49.0,72.0,8.0,23.0,205.0,17560.0,1007.2,2007,2007-03-13
3,14,0.0,5.9,13.7,22.3,20.0,51.0,80.0,10.0,24.0,223.0,17531.0,1009.0,2007,2007-03-14
3,15,0.0,6.5,13.0,19.9,34.0,58.0,85.0,9.0,20.0,241.0,16002.0,1008.3,2007,2007-03-15
3,16,0.0,5.7,12.2,20.0,38.0,68.0,90.0,7.0,18.0,188.0,15863.0,1005.2,2007,2007-03-16
3,17,0.0,5.1,11.4,18.4,47.0,72.0,93.0,6.0,26.0,152.0,12508.0,1001.8,2007,2007-03-17
3,18,0.4,7.0,11.9,15.9,53.0,80.0,97.0,7.0,26.0,154.0,8459.0,992.9,2007,2007-03-18
3,19,27.4,4.0,9.0,13.1,74.0,90.0,99.0,13.0,52.0,18.0,2517.0,973.4,2007,2007-03-19
3,20,1.4,3.8,6.4,8.9,34.0,62.0,92.0,14.0,39.0,44.0,4233.0,972.1,2007,2007-03-20
3,21,0.0,1.7,6.8,12.4,27.0,51.0,84.0,9.0,20.0,56.0,14673.0,981.9,2007,2007-03-21
3,22,0.0,-0.6,6.1,13.0,11.0,50.0,80.0,8.0,20.0,162.0,19870.0,990.0,2007,2007-03-22
3,23,0.0,1.2,7.7,15.4,19.0,49.0,79.0,9.0,28.0,224.0,19846.0,985.4,2007,2007-03-23
3,24,0.4,2.9,7.7,10.5,53.0,68.0,81.0,8.0,19.0,1.0,4764.0,988.5,2007,2007-03-24
3,25,6.0,5.9,10.3,14.6,33.0,58.0,81.0,17.0,43.0,31.0,4029.0,997.6,2007,2007-03-25
3,26,0.0,8.0,13.3,19.1,20.0,40.0,67.0,12.0,30.0,26.0,13785.0,1000.8,2007,2007-03-26
3,27,0.0,6.0,11.4,16.7,22.0,41.0,61.0,11.0,31.0,82.0,10403.0,1001.7,2007,2007-03-27
3,28,0.0,4.0,10.5,17.1,17.0,48.0,79.0,6.0,30.0,158.0,12693.0,1000.3,2007,2007-03-28
3,29,0.0,2.5,9.5,16.4,30.0,61.0,88.0,7.0,19.0,184.0,19203.0,1000.0,2007,2007-03-29
3,30,5.6,6.2,9.1,11.8,57.0,76.0,88.0,10.0,28.0,12.0,4159.0,995.9,2007,2007-03-30
